"archive_path","entry_path","depth","entry_kind","uncompressed_size_bytes","compressed_size_bytes","last_write_time"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4screws/T3_Y_data.csv","2","file","58963974","14930075","2025-04-23T10:34:12.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4screws/T3_Z_data.csv","2","file","57278826","15300991","2025-04-23T10:35:00.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4_146screws/","2","directory","0","0","2025-04-17T11:34:40.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4_146screws/T3_Current_data.csv","2","file","53148970","7353381","2025-04-23T10:57:14.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4_146screws/T3_Delta_T_data.csv","2","file","104695343","1400879","2025-04-23T10:57:40.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4_146screws/T3_X_data.csv","2","file","58041761","15071038","2025-04-23T10:55:52.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4_146screws/T3_Y_data.csv","2","file","59476378","15017268","2025-04-23T10:56:16.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/4_146screws/T3_Z_data.csv","2","file","57077183","15340646","2025-04-23T10:56:48.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/5screws/","2","directory","0","0","2025-04-17T11:23:16.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/5screws/T3_Current_data.csv","2","file","53158098","7328544","2025-04-23T10:31:02.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/5screws/T3_Delta_T_data.csv","2","file","103203881","1385411","2025-04-23T10:31:58.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/5screws/T3_X_data.csv","2","file","57620945","15212307","2025-04-23T10:28:14.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/5screws/T3_Y_data.csv","2","file","59023283","14990909","2025-04-23T10:29:12.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/5screws/T3_Z_data.csv","2","file","57251075","15315380","2025-04-23T10:30:06.0000000+08:00"
