epoch,t,truth,score,verdict,predicted,ewma,cusum,quarantine,n_known,source_mode
4,248,8screws,0.8977,healthy,8screws,0.0999,0.0,0,1,manual
4,249,8screws,0.8538,healthy,8screws,0.0919,0.0,0,1,manual
4,250,8screws,0.9578,healthy,8screws,0.0846,0.0,0,1,manual
4,251,8screws,0.8583,healthy,8screws,0.0778,0.0,0,1,manual
4,252,8screws,0.7537,healthy,8screws,0.0716,0.0,0,1,manual
4,253,8screws,0.8607,healthy,8screws,0.0659,0.0,0,1,manual
4,254,8screws,0.7991,healthy,8screws,0.0606,0.0,0,1,manual
4,255,8screws,0.9605,healthy,8screws,0.0557,0.0,0,1,manual
4,256,8screws,0.8031,healthy,8screws,0.0513,0.0,0,1,manual
4,257,8screws,0.8031,healthy,8screws,0.0472,0.0,0,1,manual
4,258,8screws,0.9651,healthy,8screws,0.0434,0.0,0,1,manual
4,259,8screws,0.847,healthy,8screws,0.0399,0.0,0,1,manual
4,260,8screws,0.781,healthy,8screws,0.0367,0.0,0,1,manual
4,261,8screws,0.9306,healthy,8screws,0.0338,0.0,0,1,manual
4,262,8screws,0.9288,healthy,8screws,0.0311,0.0,0,1,manual
4,263,8screws,0.7991,healthy,8screws,0.0286,0.0,0,1,manual
4,264,8screws,0.8478,healthy,8screws,0.0263,0.0,0,1,manual
4,265,8screws,0.7537,healthy,8screws,0.0242,0.0,0,1,manual
4,266,8screws,1.0489,unknown,,0.1023,0.05,0,1,manual
4,267,8screws,0.9235,healthy,8screws,0.0941,0.0,0,1,manual
4,268,8screws,0.9605,healthy,8screws,0.0866,0.0,0,1,manual
4,269,8screws,0.8429,healthy,8screws,0.0796,0.0,0,1,manual
4,270,8screws,0.8538,healthy,8screws,0.0733,0.0,0,1,manual
4,271,8screws,0.8977,healthy,8screws,0.0674,0.0,0,1,manual
4,272,8screws,0.8758,healthy,8screws,0.062,0.0,0,1,manual
4,273,8screws,1.0777,unknown,,0.1371,0.08,0,1,manual
4,274,8screws,0.9375,healthy,8screws,0.1261,0.02,0,1,manual
4,275,8screws,0.6346,healthy,8screws,0.116,0.0,0,1,manual
4,276,8screws,0.6288,healthy,8screws,0.1067,0.0,0,1,manual
4,277,8screws,0.988,healthy,8screws,0.0982,0.0,0,1,manual
4,278,8screws,0.8278,healthy,8screws,0.0903,0.0,0,1,manual
4,279,8screws,0.8409,healthy,8screws,0.0831,0.0,0,1,manual
4,280,8screws,0.9578,healthy,8screws,0.0765,0.0,0,1,manual
4,281,8screws,0.8441,healthy,8screws,0.0703,0.0,0,1,manual
4,282,8screws,0.9657,healthy,8screws,0.0647,0.0,0,1,manual
4,283,8screws,1.0265,unknown,,0.1395,0.03,0,1,manual
4,284,8screws,0.9275,healthy,8screws,0.1284,0.0,0,1,manual
4,285,8screws,0.9752,healthy,8screws,0.1181,0.0,0,1,manual
4,286,8screws,0.7386,healthy,8screws,0.1087,0.0,0,1,manual
4,287,8screws,0.8944,healthy,8screws,0.1,0.0,0,1,manual
4,288,8screws,0.9559,healthy,8screws,0.092,0.0,0,1,manual
4,289,8screws,0.8387,healthy,8screws,0.0846,0.0,0,1,manual
4,290,8screws,0.7471,healthy,8screws,0.0778,0.0,0,1,manual
4,291,8screws,0.8583,healthy,8screws,0.0716,0.0,0,1,manual
4,292,8screws,0.8051,healthy,8screws,0.0659,0.0,0,1,manual
4,293,8screws,0.9043,healthy,8screws,0.0606,0.0,0,1,manual
4,294,8screws,0.7903,healthy,8screws,0.0558,0.0,0,1,manual
4,295,8screws,0.8636,healthy,8screws,0.0513,0.0,0,1,manual
4,296,8screws,0.8824,healthy,8screws,0.0472,0.0,0,1,manual
4,297,8screws,0.8342,healthy,8screws,0.0434,0.0,0,1,manual
4,298,8screws,0.7884,healthy,8screws,0.0399,0.0,0,1,manual
4,299,8screws,0.9545,healthy,8screws,0.0368,0.0,0,1,manual
4,300,8screws,0.8548,healthy,8screws,0.0338,0.0,0,1,manual
4,301,8screws,1.0256,unknown,,0.1111,0.03,0,1,manual
4,302,8screws,0.7738,healthy,8screws,0.1022,0.0,0,1,manual
4,303,8screws,1.0272,unknown,,0.174,0.03,0,1,manual
4,304,8screws,0.9731,healthy,8screws,0.1601,0.0,0,1,manual
4,305,8screws,0.9564,healthy,8screws,0.1473,0.0,0,1,manual
4,306,8screws,1.0366,unknown,,0.2155,0.04,0,1,manual
4,307,8screws,0.9013,healthy,8screws,0.1983,0.0,0,1,manual
4,308,8screws,0.8607,healthy,8screws,0.1824,0.0,0,1,manual
